Country Name;Country Code;Population;Average;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Mexico;MEX;114793341;6165.68672778072;3116.1235224818;3659.6833388588;4154.42690649762;4524.70937686624;4650.11423261551;3107.07391760942;3546.92896110312;4206.56403612398;4342.33411843889;4884.62501431883;5816.61448096171;6139.30171530683;6324.16750495989;6740.20547968329;7223.86961434311;7972.55364129367;8830.84474760499;9484.73155551746;9893.41459374414;7852.15477635558;9127.54127433186;10047.1252021591
Brazil;BRA;196655014;5138.36568523751;3086.87702040317;2677.26695522469;2526.59618354242;2791.9686837855;3854.88238589394;4751.06598921387;5109.34478920934;5220.85867210465;4980.98573102095;3413.25676651113;3696.14677192256;3129.75545644264;2812.33422337213;3041.67779634558;3609.87736620697;4743.26632132802;5793.39851161353;7197.02860136772;8628.95284105806;8391.66859203938;10992.9424895883;12593.8929270307
Uruguay;URY;3368595;6488.28380719471;2990.82495162023;3578.94993933386;4083.30412753277;4722.05832934363;5460.22222076097;5986.73981194106;6340.64445757682;7361.30494825724;7754.32443869028;7292.57060566584;6914.36258197758;6316.97004092343;4112.55399534311;3646.27913843113;4145.19828435089;5252.36769981925;5907.28013115713;7043.08032624191;9107.88081526303;9117.37346981325;11741.6983189359;13866.2551253043
St. Lucia;LCA;176000;4891.09575832514;2961.91330146209;3172.57615312061;3485.18253659689;3516.80833790829;3627.23590081951;3856.0413335606;3851.23526382008;4038.39942662311;4327.21908440517;4505.49042749514;4900.49567569114;4485.77551382201;4543.5430934044;4864.51471114911;5283.71757389597;5528.86452120183;6118.68274933042;6726.98778384272;6897.60990115759;6810.52463477575;6947.43431673052;7153.85444234007
Lithuania;LTU;3203000;5719.26859932623;2841.30756236628;2777.17362445149;2314.06681710043;2016.12221657549;1902.75169635275;2178.19609120596;2339.67391832493;2833.09422827713;3170.7524601115;3113.11977227418;3267.34744263239;3492.73344493941;4082.92399458641;5387.26272950741;6564.09422846215;7603.96677648003;8864.99230074561;11584.2411820974;14071.2651081544;11033.5884564141;11046.0518513662;13339.1832827515
Latvia;LVA;2220000;5605.83378975383;2796.31265998635;2549.03293417349;1854.4108574766;1743.06741387124;2007.68453536886;2106.88200936784;2273.01105987543;2521.00690907653;2745.60394803609;3048.97693122183;3300.93465630486;3529.94009096824;3983.01910868396;4810.66982866443;5950.1281963667;6973.16094254957;8713.06795312493;12638.1472877512;14857.8866192073;11475.6923347794;10723.3562631249;12726.3508346045
Turkey;TUR;73639596;5263.52343899023;2783.5866449841;2742.76956757148;2840.36802092391;3167.52690980665;2256.73112551501;2879.24830823394;3033.59336066345;3123.14251335623;4361.44213830251;3983.74620177199;4189.4780621383;3036.72708957549;3553.06626102457;4567.49913461439;5832.6893446599;7087.72024891628;7687.1256509437;9246.03040522512;10297.5054465719;8553.74145297029;10049.773564712;10524.0042053039
Botswana;BWA;2030738;4350.94617400289;2742.12687044611;2769.71090539316;2830.49809178957;2762.32813741363;2806.55054225178;3010.38291905523;2956.1066442468;3119.4807560459;3061.29437849287;3394.59230199409;3204.1154830988;3381.28609243039;3368.99901454397;4418.72266597456;5425.14574891767;5467.65910387576;5921.24787574224;6422.18505579411;6877.04109663209;5822.09656455067;7426.62835769301;8532.61722168124
Cuba;CUB;11253665;3385.97213234612;2709.98558895542;2282.48615010612;2058.88664323944;2072.82973958758;2622.48720030638;2791.41459906533;2284.85060925879;2307.63562460597;2333.02503238701;2562.73229456663;2752.55209394764;2844.05944326872;3005.73561617383;3203.19478116982;3400.34730844853;3789.16678706571;4681.89253842212;5200.56152061016;5396.88583510733;5396.88583510733;5396.88583510733;5396.88583510733
Estonia;EST;1340000;7409.99646918624;2629.01659389814;2629.01659389814;2629.01659389814;2629.01659389814;2629.01659389814;2629.01659389814;3339.85511852222;3609.82774966375;4035.56275035896;4150.035855127;4143.92718887775;4572.91284795944;5386.39351372456;7270.28482804435;8912.79009671882;10330.2448599037;12503.1232699897;16392.7210678516;17738.5231043752;14264.0114797949;14062.2342350933;16533.3747927032
